Outcome_name	sex2	type3ss_pvalue_d_CETP_d_ADCY9
fvc	Women	2.1249387366083
fev1	Women	2.11918640771921
fev1	All	1.74472749489669
fvc	All	1.59516628338006
bodywaterm	Women	1.53910215724345
basalmrate	Women	1.19586056766465
CAD	Men	1.1196103251267
lpa	Men	1.11337356278758
CAD	All	1.09992619040361
basalmrate	Men	0.911509529817604
apoa	Women	0.86792242554957
apoa	All	0.833104620532423
bodywaterm	Men	0.818728228440538
weight	Men	0.816445466381138
birthwt	Women	0.750801642608887
lpa	All	0.743629993185982
height	Men	0.722390785695909
crp	Men	0.680047174065291
height	Women	0.597222930389653
crp	Women	0.570918322013559
sleep	Men	0.542269451754002
hip	Men	0.530325227448202
sbp	Men	0.514704561273911
weight	Women	0.511449283499556
sleep	All	0.505845405981557
fev1	Men	0.499489089473663
hip	Women	0.480565805086297
hdl	All	0.446333297260578
fvc	Men	0.375614758579735
birthwt	All	0.371611069949688
whr	Women	0.369775589247568
pulserate	Men	0.361510743045363
hdl	Women	0.359189174410409
dbp	Men	0.346208812612188
MI	All	0.333754708760305
MI	Men	0.329123335813462
ukbmi	Women	0.315513707811266
sbp	Women	0.243363891754152
pulserate	All	0.242224508988074
ukbmi	Men	0.236946559700385
CAD	Women	0.226139332465085
xbodywaterp	Women	0.221704008911166
bodyfatp	Women	0.207258214165251
ldl	Women	0.20412461527162
hdl	Men	0.202865159142859
waist	Men	0.199970640755866
whr	All	0.196065150136158
sleep	Women	0.182963773949971
apoa	Men	0.174110640375107
bodyfatp	Men	0.154034238454516
ldl	All	0.140701659057059
dbp	All	0.129830278863559
xbodywaterp	Men	0.128193635541271
birthwt	Men	0.128135297911805
apob	Women	0.11211334742077
apob	All	0.110384845059997
sbp	All	0.106959888042882
dbp	Women	0.106349183014036
weight	All	0.0943659986730453
waist	Women	0.0901231820096072
trunkfatp	Men	0.0825995320447494
ukbmi	All	0.0792507387242917
MI	Women	0.0787550819694935
xbodywaterp	All	0.0775340547015867
hip	All	0.0756690152913216
lpa	Women	0.0728516441684916
whr	Men	0.070223567195098
basalmrate	All	0.0668671762732657
trunkfatp	Women	0.0660573972587389
bodyfatp	All	0.0555173278498314
height	All	0.0488568398924474
waist	All	0.047401265470227
ldl	Men	0.0378422392824612
bodywaterm	All	0.0293277573102806
crp	All	0.00589286059660101
pulserate	Women	0.00546289570150214
trunkfatp	All	0.00379489382167554
apob	Men	0.00332532992797066
