POS	iHS	pop	bigpop	gene	x
4012825	1.46549	YRI	AFR	ADCY9	4012825
4013144	0.0949628	YRI	AFR	ADCY9	4013144
4013467	1.00631	YRI	AFR	ADCY9	4013467
4013556	1.196	YRI	AFR	ADCY9	4013556
4014141	-0.711977	YRI	AFR	ADCY9	4014141
4014245	0.179579	YRI	AFR	ADCY9	4014245
4014770	-0.961319	YRI	AFR	ADCY9	4014770
4014922	0.591637	YRI	AFR	ADCY9	4014922
4014964	0.657015	YRI	AFR	ADCY9	4014964
4014982	1.6416	YRI	AFR	ADCY9	4014982
4015313	-0.671525	YRI	AFR	ADCY9	4015313
4015316	1.56771	YRI	AFR	ADCY9	4015316
4015729	-0.148712	YRI	AFR	ADCY9	4015729
4016355	1.29207	YRI	AFR	ADCY9	4016355
4016676	0.366313	YRI	AFR	ADCY9	4016676
4016943	1.24404	YRI	AFR	ADCY9	4016943
4017270	-1.2261	YRI	AFR	ADCY9	4017270
4017278	-0.72472	YRI	AFR	ADCY9	4017278
4017534	-0.524755	YRI	AFR	ADCY9	4017534
4017685	0.984791	YRI	AFR	ADCY9	4017685
4018031	0.827888	YRI	AFR	ADCY9	4018031
4018321	1.185	YRI	AFR	ADCY9	4018321
4018425	-0.758773	YRI	AFR	ADCY9	4018425
4018431	1.15158	YRI	AFR	ADCY9	4018431
4019114	0.779405	YRI	AFR	ADCY9	4019114
4019123	0.855838	YRI	AFR	ADCY9	4019123
4019216	0.937294	YRI	AFR	ADCY9	4019216
4019350	0.584617	YRI	AFR	ADCY9	4019350
4019530	-0.733853	YRI	AFR	ADCY9	4019530
4020391	-1.50797	YRI	AFR	ADCY9	4020391
4020579	0.790296	YRI	AFR	ADCY9	4020579
4020732	-0.849443	YRI	AFR	ADCY9	4020732
4021051	0.499377	YRI	AFR	ADCY9	4021051
4021734	0.370142	YRI	AFR	ADCY9	4021734
4021803	0.535726	YRI	AFR	ADCY9	4021803
4022067	0.831713	YRI	AFR	ADCY9	4022067
4022159	0.831713	YRI	AFR	ADCY9	4022159
4022167	-1.08892	YRI	AFR	ADCY9	4022167
4022638	-0.789349	YRI	AFR	ADCY9	4022638
4022694	-0.0100142	YRI	AFR	ADCY9	4022694
4022703	0.49539	YRI	AFR	ADCY9	4022703
4023022	0.713548	YRI	AFR	ADCY9	4023022
4023553	0.862448	YRI	AFR	ADCY9	4023553
4024446	-0.0877327	YRI	AFR	ADCY9	4024446
4025214	0.326469	YRI	AFR	ADCY9	4025214
4025385	0.374816	YRI	AFR	ADCY9	4025385
4026238	-1.00222	YRI	AFR	ADCY9	4026238
4026720	1.27457	YRI	AFR	ADCY9	4026720
4027399	0.384919	YRI	AFR	ADCY9	4027399
4027423	-0.387727	YRI	AFR	ADCY9	4027423
4027596	-1.10346	YRI	AFR	ADCY9	4027596
4027605	-0.389952	YRI	AFR	ADCY9	4027605
4027688	-0.332667	YRI	AFR	ADCY9	4027688
4027749	1.10587	YRI	AFR	ADCY9	4027749
4028015	0.619158	YRI	AFR	ADCY9	4028015
4028060	0.675985	YRI	AFR	ADCY9	4028060
4028145	0.229685	YRI	AFR	ADCY9	4028145
4028417	-0.205063	YRI	AFR	ADCY9	4028417
4028866	-0.358939	YRI	AFR	ADCY9	4028866
4028877	0.000571123	YRI	AFR	ADCY9	4028877
4029577	1.66382	YRI	AFR	ADCY9	4029577
4030550	0.852748	YRI	AFR	ADCY9	4030550
4030795	0.472753	YRI	AFR	ADCY9	4030795
4030928	0.151982	YRI	AFR	ADCY9	4030928
4030952	0.881298	YRI	AFR	ADCY9	4030952
4031140	0.210177	YRI	AFR	ADCY9	4031140
4031348	-0.4436	YRI	AFR	ADCY9	4031348
4031793	-0.206063	YRI	AFR	ADCY9	4031793
4031794	-0.476421	YRI	AFR	ADCY9	4031794
4032021	-1.03748	YRI	AFR	ADCY9	4032021
